tx_day,feature,psi
127,c13,0.026949278250158006
127,transactionamt,0.018023951808537293
127,uid_account_freq,0.6499900228434794
127,c1,0.005377552620019824
127,v70,0.06388748289662291
127,c5,0.0025622771643821554
127,card6,0.02178572845783003
127,c14,0.008691288916774566
127,card2_freq,0.008460660881577155
127,card1,0.00471434465931744
127,card_cnt_hist,0.22082647505304961
127,p_emaildomain_freq,0.0036028343743507688
127,d1,0.01877661574182532
127,amt_cents,0.010723925013516634
127,c11,0.005563487441881375
127,d4,0.050311409068271445
127,addr1,0.004380741835179646
127,d15,0.10505194427805978
127,c2,0.019698752532498736
127,card2,0.013614441432796793
128,c13,0.028612130654322346
128,transactionamt,0.020154206497316234
128,uid_account_freq,0.5625619352763409
128,c1,0.004101548231479144
128,v70,0.08587661250887278
128,c5,0.003206506083607323
128,card6,0.030224379388718657
128,c14,0.006530565274244599
128,card2_freq,0.011144569343451972
128,card1,0.005254462117349278
128,card_cnt_hist,0.2625044510420957
128,p_emaildomain_freq,0.009043682564624952
128,d1,0.028784528620665717
128,amt_cents,0.010616889471511744
128,c11,0.040259874082565296
128,d4,0.16280112997909574
128,addr1,0.010722634435238762
128,d15,0.23330078046355107
128,c2,0.017929815809954487
128,card2,0.008281519272538979
129,c13,0.0715706877643265
129,transactionamt,0.04793053095127195
129,uid_account_freq,0.5776623877106939
129,c1,0.020882261322355693
129,v70,0.11984308306828818
129,c5,0.006729256612051549
129,card6,0.032596675745137305
129,c14,0.02790898391139286
129,card2_freq,0.008265677719701109
129,card1,0.005873015428387924
129,card_cnt_hist,0.23900271388936095
129,p_emaildomain_freq,0.020498816182039765
129,d1,0.02836722393817501
129,amt_cents,0.027613327549737308
129,c11,0.06133557393816391
129,d4,0.8404203572347972
129,addr1,0.018235451377212823
129,d15,1.073031420811215
129,c2,0.04391308678706742
129,card2,0.009272332798321192
130,c13,0.04519229780345106
130,transactionamt,0.014734515163505449
130,uid_account_freq,0.46343125077924363
130,c1,0.020916497581884123
130,v70,0.07824810877214651
130,c5,0.03956183546650932
130,card6,0.03200035083102591
130,c14,0.011073012920654003
130,card2_freq,0.01068794129886578
130,card1,0.008672250157120698
130,card_cnt_hist,0.2311166895810211
130,p_emaildomain_freq,0.011894895825083298
130,d1,0.7270584272244882
130,amt_cents,0.04112538692755835
130,c11,0.04478194861434261
130,d4,0.8680869490309064
130,addr1,0.014795640915007444
130,d15,1.1625513994548966
130,c2,0.028498713252297036
130,card2,0.016739554105395044
131,c13,0.03671564600356541
131,transactionamt,0.017336028559073367
131,uid_account_freq,0.5784844334408001
131,c1,0.011434147791170003
131,v70,0.05429361448426678
131,c5,0.016236781715558434
131,card6,0.021589598429050658
131,c14,0.0071518885796221145
131,card2_freq,0.024254854001396573
131,card1,0.008729760572426724
131,card_cnt_hist,0.25471013862533987
131,p_emaildomain_freq,0.0022808387689403275
131,d1,0.038151555775024035
131,amt_cents,0.022920179642665135
131,c11,0.04105710118089633
131,d4,0.11306652640176407
131,addr1,0.013662913579104055
131,d15,0.1414867470184144
131,c2,0.0161086182037166
131,card2,0.019336619513762116
132,c13,0.03234564905421819
132,transactionamt,0.003673795629689248
132,uid_account_freq,0.6176700892751211
132,c1,0.012128999602929362
132,v70,0.056660863794816566
132,c5,0.014872273610472525
132,card6,0.024241369295003687
132,c14,0.015347678164161695
132,card2_freq,0.011351084680606402
132,card1,0.0070288145345733495
132,card_cnt_hist,0.2207999863531891
132,p_emaildomain_freq,0.006239657302304115
132,d1,0.02934205034975585
132,amt_cents,0.01818391626495633
132,c11,0.017176881449983302
132,d4,0.03788746967193243
132,addr1,0.012639356184813771
132,d15,0.06969156412166383
132,c2,0.013965332500132389
132,card2,0.016074391922399
133,c13,0.025536366623561905
133,transactionamt,0.0070542715721852445
133,uid_account_freq,0.6438655089238573
133,c1,0.0046659104390635725
133,v70,0.03989349136784204
133,c5,0.0041207733978332346
133,card6,0.0219713217664256
133,c14,0.005224521794652532
133,card2_freq,0.011624010925387347
133,card1,0.0040985350045681275
133,card_cnt_hist,0.2178215239346769
133,p_emaildomain_freq,0.0008369107814138182
133,d1,0.024701398021603163
133,amt_cents,0.0050188325227063565
133,c11,0.042310244712638743
133,d4,0.04349804848883095
133,addr1,0.005334624312620076
133,d15,0.05755922492419925
133,c2,0.01716655729485568
133,card2,0.013214778308303442
134,c13,0.02174267243604632
134,transactionamt,0.008315581029093867
134,uid_account_freq,0.5737907714356082
134,c1,0.004769293396278494
134,v70,0.0794264728473287
134,c5,0.00020815729745252978
134,card6,0.033411336310845904
